names,descriptions,statuses,bill_committees,sponsors
H.R.2251,Chiropractic Care Available to All Veterans Act,Introduced,Veterans' Affairs,"Rep. Roybal-Allard, Lucille [D-CA-40]"
H.R.2250,Standard DATA Act of 2017,Introduced,Ways and Means; Energy and Commerce,"Rep. Reed, Tom [R-NY-23]"
H.R.2249,HAND UP Act,Introduced,Ways and Means; Agriculture; Financial Services; Education and the Workforce; Energy and Commerce,"Rep. Reed, Tom [R-NY-23]"
H.R.2248,To prohibit the Secretary of the Interior from revising the approved oil and gas leasing program for fiscal years 2017 through 2022.,Introduced,Natural Resources,"Rep. Pallone, Frank, Jr. [D-NJ-6]"
H.R.2247,Anthony Gonzales Equality for Survivors (AGES) Act,Introduced,Ways and Means,"Rep. Lujan Grisham, Michelle [D-NM-1]"
H.R.2246,Taxpayer Exposure Mitigation Act of 2017,Introduced,Financial Services,"Rep. Luetkemeyer, Blaine [R-MO-3]"
H.R.2245,ZZZ's to A's Act,Introduced,Education and the Workforce,"Rep. Lofgren, Zoe [D-CA-19]"
H.R.2244,Patient Experience in Research Act of 2017,Introduced,Energy and Commerce,"Rep. Lance, Leonard [R-NJ-7]"
H.R.2243,HEARTS Act,Introduced,Armed Services; Energy and Commerce; Ways and Means,"Rep. Johnson, Sam [R-TX-3]"
H.R.2242,Keep It in the Ground Act of 2017,Introduced,Natural Resources,"Rep. Huffman, Jared [D-CA-2]"
H.R.2241,Commuter Access Reform Act,Introduced,Ways and Means,"Rep. Holding, George [R-NC-2]"
H.R.2240,U.S.-Israel Joint Missile Defense Act,Introduced,Armed Services; Foreign Affairs,"Rep. Gottheimer, Josh [D-NJ-5]"
H.R.2239,Breaking Addiction Act of 2017,Introduced,Energy and Commerce,"Rep. Fudge, Marcia L. [D-OH-11]"
H.R.2238,Child and Dependent Care Tax Credit Improvement Act of 2017,Introduced,Ways and Means,"Rep. Demings, Val Butler [D-FL-10]"
H.R.2237,Social Security Disability Fairness Act of 2017,Introduced,Ways and Means,"Rep. Davis, Rodney [R-IL-13]"
H.R.2236,Foster and Homeless Youth Food Security Act of 2017,Introduced,Agriculture,"Rep. Davis, Danny K. [D-IL-7]"
H.R.2235,SAFE SEAT Act,Introduced,Transportation and Infrastructure,"Rep. Chu, Judy [D-CA-27]"
H.R.2234,Recognizing Achievement in Classified School Employees Act,Introduced,Education and the Workforce,"Rep. Titus, Dina [D-NV-1]"
H.R.2233,American Jobs First Act of 2017,Introduced,Judiciary; Education and the Workforce,"Rep. Brooks, Mo [R-AL-5]"
H.R.2232,Promoting Equality and Accountability at the United Nations Act of 2017,Introduced,Foreign Affairs,"Rep. Ros-Lehtinen, Ileana [R-FL-27]"
H.R.2231,"To establish a joint commission on North Korea, and for other purposes.",Introduced,Foreign Affairs; Armed Services,"Rep. DelBene, Suzan K. [D-WA-1]"
H.R.2230,To direct the Joint Committee on the Library to obtain a statue or bust of Elie Wiesel for placement in the United States Capitol.,Introduced,House Administration,"Rep. Cohen, Steve [D-TN-9]"
H.R.2229,All Circuit Review Act,Became Law,Oversight and Government; Judiciary | Senate,"Rep. Cummings, Elijah E. [D-MD-7]"
H.R.2228,Law Enforcement Mental Health and Wellness Act of 2017,Became Law,Judiciary | Senate,"Rep. Brooks, Susan W. [R-IN-5]"
H.R.2227,MGT Act,Passed House,Oversight and Government; Appropriations | Senate,"Rep. Hurd, Will [R-TX-23]"
