names,descriptions,statuses,bill_committees,sponsors
H.R.5670,Transportation Security Transparency Improvement Act,Introduced,Homeland Security,Dan Bishop
H.R.5669,SECURE Small Business Act,Introduced,Small Business,Abby Finkenauer
H.R.5668,MODERN Labeling Act of 2020,Introduced,Energy and Commerce,Doris O. Matsui
H.R.5667,Safe Communities Act,Introduced,Homeland Security; Energy and Commerce,Lauren Underwood
H.R.5666,National Aeronautics and Space Administration Authorization Act of 2020,Introduced,"Science, Space, and Technology",Kendra S. Horn
H.R.5665,For the relief of Maria Rose Versace.,Introduced,Judiciary,Anthony Brindisi
H.R.5664,LIFT Act,Introduced,Foreign Affairs; Judiciary,Michael T. McCaul
H.R.5663,Safeguarding Therapeutics Act,Introduced,Energy and Commerce,Brett Guthrie
H.R.5662,Pregnant Women Health and Safety Act of 2020,Introduced,Judiciary; Energy and Commerce,Andy Biggs
H.R.5661,To prohibit the sharing of United States intelligence with countries that permit operation of Huawei fifth generation telecommunications technology within their borders.,Introduced,Intelligence (Permanent),Jim Banks
H.R.5660,"To amend title 23, United States Code, to ensure that each State receives an aggregate apportionment equal to at least 100 percent of the estimated tax payments attributable to certain highway users in the State, and for other purposes.",Introduced,Transportation and Infrastructure,Chip Roy
H.R.5659,Protecting Community Television Act,Introduced,Energy and Commerce,Anna G. Eshoo
H.R.5658,Crime Victims'' Rights Act of 2020,Introduced,Judiciary,Debbie Wasserman Schultz
H.R.5657,Religious Insignia on Dog Tags Act,Introduced,Armed Services,W. Gregory Steube
H.R.5656,Working Families Flexibility Act of 2020,Introduced,Education and Labor,Martha Roby
H.R.5655,Nonprofit Security Expansion Act,Introduced,Homeland Security,Donald Norcross
H.R.5654,Expanding Medical Education Act of 2020,Introduced,Energy and Commerce,Jim Costa
H.R.5653,Green Federal Fleet Act,Introduced,Oversight and Reform,Julia Brownley
H.R.5652,Estate Tax Rate Reduction Act,Introduced,Ways and Means; Budget,Jodey C. Arrington
H.R.5651,Adoption Information Act,Introduced,Energy and Commerce,Robert J. Wittman
H.R.5650,Federal Energy and Water Management Performance Act of 2020,Introduced,Energy and Commerce,Peter Welch
H.R.5649,Consumer Access to Grid Information Act of 2020,Introduced,"Science, Space, and Technology",Katie Porter
H.R.5648,TREAT PTSD Act,Introduced,Veterans'' Affairs,Scott Perry
H.R.5647,Campus Fire Safety Education Act of 2020,Introduced,Education and Labor,Bill Pascrell Jr.
H.R.5646,Bring Our Heroes Home Act,Introduced,Oversight and Reform,Chris Pappas
H.R.5645,Eyes on the Courts Act of 2020,Introduced,Judiciary,Jerrold Nadler
H.R.5644,Construction Consensus Procurement Improvement Act of 2020,Introduced,Oversight and Reform,Mark Meadows
H.R.5643,S Corporation Modernization Act of 2020,Introduced,Ways and Means,Ron Kind
H.R.5642,Active Transportation for Public Lands Act,Introduced,Transportation and Infrastructure,Jared Huffman
H.R.5641,Incentivizing Value Capture for Greener Transportation Act,Introduced,Transportation and Infrastructure,Mark DeSaulnier
H.R.5640,Data Mapping to Save Moms'' Lives Act,Introduced,Energy and Commerce,G. K. Butterfield
H.R.5639,Chuck Osier Burial Benefits Act,Introduced,Veterans'' Affairs,Anthony Brindisi
H.R.5638,American Sovereignty and Species Protection Act,Introduced,Natural Resources,Andy Biggs
H.R.5637,Michael Lecik Military Firefighters Protection Act,Introduced,Veterans'' Affairs,Abigail Davis Spanberger
H.R.5636,Transparency in Energy Production Act of 2020,Introduced,Natural Resources,Alan S. Lowenthal
H.R.5635,Virtual Currency Tax Fairness Act of 2020,Introduced,Ways and Means,Suzan K. DelBene
H.R.5634,"To amend title II of the Social Security Act to require that past-due benefits be paid prior to the payment of social security representative fees, and for other purposes.",Introduced,Ways and Means,Tim Burchett
H.R.5633,Synthetic Opioid Danger Awareness Act,Introduced,Energy and Commerce,Andy Kim
H.R.5632,FDA Accountability for Public Safety Act,Introduced,Energy and Commerce,Andy Kim
H.R.5631,Solutions Not Stigmas Act of 2019,Introduced,Energy and Commerce,Andy Kim
H.R.5630,Documents for Continued Safety Act of 2020,Introduced,Ways and Means,Charlie Crist
H.R.5629,FLIP Act,Introduced,Education and Labor,Ted Budd
H.R.5628,Clean Water Allotment Modernization Act,Introduced,Transportation and Infrastructure,Michael Waltz
H.R.5627,MATCH Act of 2020,Introduced,Agriculture,John R. Curtis
H.R.5626,Eliminating the HHS Discrimination Division Act of 2020,Introduced,Energy and Commerce,Jahana Hayes
H.R.5625,Targeting Environmental and Climate Recklessness Act of 2019,Introduced,Foreign Affairs; Judiciary; Financial Services; Oversight and Reform; Ways and Means,Veronica Escobar
H.R.5624,For the relief of Melnyk Ruslana and Gnatyuk Mykhaylo.,Introduced,Judiciary,Danny K. Davis
H.R.5623,For the relief of Tetyana Zvarychuk.,Introduced,Judiciary,Danny K. Davis
H.R.5622,For the relief of Igor Klyuchenko.,Introduced,Judiciary,Danny K. Davis
H.R.5621,BRENDA Act,Introduced,Armed Services,Michael Waltz
H.R.5620,TRUE EQUITY Act,Introduced,Education and Labor,David J. Trone
H.R.5619,Suicide Prevention Act,Introduced,Energy and Commerce,Chris Stewart
H.R.5618,Promoting National Service and Reducing Unemployment Act,Introduced,Appropriations,Eleanor Holmes Norton
H.R.5617,Taxi Medallion Loan Forgiveness Debt Relief Act of 2020,Introduced,Ways and Means,Gregory W. Meeks
H.R.5616,Improving Safety and Security for Veterans Act of 2020,Introduced,Veterans'' Affairs,David B. McKinley
H.R.5615,TREES Act,Introduced,Energy and Commerce,Doris O. Matsui
H.R.5614,Affordable Homeownership Access Act,Introduced,Financial Services,Vicente Gonzalez
H.R.5613,RISE Act,Introduced,Education and Labor,Ruben Gallego
H.R.5612,Small Business and Community Investments Expansion Act of 2020,Introduced,Financial Services,Tulsi Gabbard
H.R.5611,Protecting Student Athletes From Concussions Act of 2020,Introduced,Education and Labor,Mark DeSaulnier
H.R.5610,Fair Care for Vietnam Veterans Act,Introduced,Veterans'' Affairs,Josh Harder
H.R.5609,Homelessness Emergency Declaration Act,Introduced,Budget; Financial Services; Transportation and Infrastructure,Josh Harder
H.R.5608,STRANDED Act of 2020,Introduced,Transportation and Infrastructure; Financial Services; Ways and Means,Bradley Scott Schneider
H.R.5607,School Food Recovery Act of 2020,Introduced,Education and Labor,Chellie Pingree
H.R.5606,Desert National Wildlife Refuge and Nevada Test and Training Range Withdrawal and Management Act,Introduced,Natural Resources; Armed Services,Steven Horsford
H.R.5605,"United States-Israel PTSD 
Collaborative Research Act",Introduced,Armed Services,Michael Waltz
H.R.5604,"Advanced Manufacturing Jobs in 
America Act",Introduced,Education and Labor,Norma J. Torres
H.R.5603,"Protection of Women and Girls in 
Sports Act of 2020",Introduced,Education and Labor,W. Gregory Steube
H.R.5602,"Domestic Terrorism Prevention Act of 
2020",Introduced,Judiciary; Homeland Security; Armed Services,Bradley Scott Schneider
H.R.5601,"Property Rights Protection Act of 
2020",Introduced,Natural Resources; Agriculture,Ralph Norman
H.R.5600,Offshoring Notification Act,Introduced,Education and Labor,Cynthia Axne
H.R.5599,"Fulfilling the Promise of the 
Housing Trust Fund Act",Introduced,Financial Services,Denny Heck
H.R.5598,"Boundary Waters Wilderness 
Protection and Pollution Prevention Act",Introduced,Natural Resources,Betty McCollum
H.R.5597,"To designate the facility of the United States Postal Service located at 305 Northwest 5th Street in Oklahoma City, Oklahoma, as the ""Clara Luper Post Office Building"".",Introduced,Oversight and Reform,Kendra S. Horn
H.R.5596,Personalized Care Act of 2020,Introduced,Ways and Means,Chip Roy
