session,roll_num,date,issue,question,result,title
115,60,30-Jan,H RES 87,On Ordering the Previous Question,P,"Providing for consideration of the bill (H.R. 790) to provide for a pay increase in 2019 for certain civilian employees of the Federal Government, and for other purposes, and providing for consideration of motions to suspend the rules"
115,59,29-Jan,H RES 77,Table Motion to Reconsider,P,Expressing the sense of Congress that financial institutions and other companies should work proactively with their customers affected by the shutdown of the Federal Government who may be facing short-term financial hardship and long-term damage to their creditworthiness through no fault of their own
115,58,29-Jan,H R 769,On Motion to Suspend the Rules and Pass,P,Counterterrorism Advisory Board Act
115,57,29-Jan,H R 449,On Motion to Suspend the Rules and Pass,P,Pathways to Improving Homeland Security at the Local Level Act
115,56,29-Jan,H R 428,On Motion to Suspend the Rules and Pass,P,Homeland Security Assessment of Terrorists Use of Virtual Currencies Act
115,55,29-Jan,ADJOURN,On Motion to Adjourn,F, 
115,54,28-Jan,JOURNAL,On Approving the Journal,P, 
115,53,28-Jan,H R 502,On Motion to Suspend the Rules and Pass,P,Fight Illicit Networks and Detect Trafficing Act
115,52,28-Jan,H R 624,On Motion to Suspend the Rules and Pass,P,Promoting Transparent Standards for Corporate Insiders Act
115,51,24-Jan,H J RES 31,On Passage,P,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes"
115,50,24-Jan,H J RES 31,On Motion to Recommit with Instructions,F,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes"
115,49,23-Jan,H R 648,On Passage,P,"Consolidated Appropriations Act, 2019"
