names,descriptions,statuses,bill_committees,sponsors
S.2385,Broadband Internet for Small Ports Act,Introduced,"Agriculture, Nutrition, and Forestry","Sen. Wyden, Ron [D-OR]"
S.2384,"Botanical Sciences and Native Plant Materials Research, Restoration, and Promotion Act",Introduced,Energy and Natural Resources,"Sen. Hirono, Mazie K. [D-HI]"
S.2383,Small Business Administration Franchise Loan Transparency Act of 2019,Introduced,Small Business and Entrepreneurship,"Sen. Cortez Masto, Catherine  [D-NV]"
S.2382,Community Energy Savings Program Act of 2019,Introduced,Energy and Natural Resources,"Sen. Merkley, Jeff [D-OR]"
S.2381,Traveling Parents Screening Consistency Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. McSally, Martha [R-AZ]"
S.2380,Next Generation Electric Systems Act of 2019,Introduced,Energy and Natural Resources,"Sen. Hirono, Mazie K. [D-HI]"
S.2379,Medicaid Patient Abuse Prevention Act,Introduced,Finance,"Sen. Crapo, Mike [R-ID]"
S.2378,Reducing Excessive Government Act of 2019,Introduced,Homeland Security and Governmental Affairs,"Sen. Gardner, Cory [R-CO]"
S.2377,Medicaid Accountability Act,Introduced,Finance,"Sen. Inhofe, James M. [R-OK]"
S.2376,Stop Illegal Trafficking in Firearms Act of 2019,Introduced,Judiciary,"Sen. Leahy, Patrick J. [D-VT]"
S.2375,ARC Relocation Act,Introduced,Environment and Public Works,"Sen. Manchin, Joe, III [D-WV]"
S.2374,Saving America's Vulnerable and Endangered Species Act,Introduced,Environment and Public Works,"Sen. Cruz, Ted [R-TX]"
S.2373,Rural Maternal and Obstetric Modernization of Services Act,Introduced,"Health, Education, Labor, and Pensions","Sen. Smith, Tina  [D-MN]"
S.2372,Save Our Seas 2.0: Enhanced Global Engagement to Combat Marine Debris Act,Introduced,Foreign Relations,"Sen. Menendez, Robert [D-NJ]"
S.2371,Honor and Remember Flag Act of 2019,Introduced,Judiciary,"Sen. Manchin, Joe, III [D-WV]"
S.2370,Automatic IRA Act of 2019,Introduced,Finance,"Sen. Whitehouse, Sheldon [D-RI]"
S.2369,Department of Veterans Affairs Committal Service Shelter Act of 2019,Introduced,Veterans' Affairs,"Sen. Manchin, Joe, III [D-WV]"
S.2368,Nuclear Energy Renewal Act of 2019,Introduced,Energy and Natural Resources,"Sen. Coons, Christopher A. [D-DE]"
S.2367,Addressing Teacher Shortages Act of 2019,Introduced,"Health, Education, Labor, and Pensions","Sen. Smith, Tina  [D-MN]"
S.2366,Commonsense Reporting Act of 2019,Introduced,Finance,"Sen. Warner, Mark R. [D-VA]"
S.2365,Health Care Access for Urban Native Veterans Act of 2019,Introduced,Indian Affairs,"Sen. Udall, Tom [D-NM]"
S.2364,Save Our Seas 2.0: Enhancing the Domestic Marine Debris Response Act,Introduced,"Commerce, Science, and Transportation","Sen. Sullivan, Dan  [R-AK]"
S.2363,Telecommunications Opportunities for Workers Engaging in Real Infrastructure Deployment Act of 2019,Introduced,"Commerce, Science, and Transportation","Sen. Gardner, Cory [R-CO]"
S.2362,American Business Tariff Relief Act of 2019,Introduced,Finance,"Sen. Whitehouse, Sheldon [D-RI]"
S.2361,Closing the Credit Gap Act,Introduced,Small Business and Entrepreneurship,"Sen. Cardin, Benjamin L. [D-MD]"
