Name,State,District,Party,Terms
Thomas J. Rooney,FL,17.0,R,House: 2009-2019
Ileana Ros-Lehtinen,FL,27.0,R,House: 1989-2019
Jacky Rosen,NV,At Large,D,Senate: 2019-Present | House: 2017-2019
Peter J. Roskam,IL,6.0,R,House: 2007-2019
Dennis A. Ross,FL,15.0,R,House: 2011-2019
Keith J. Rothfus,PA,12.0,R,House: 2013-2019
David Rouzer,NC,7.0,R,House: 2015-Present
Lucille Roybal-Allard,CA,40.0,D,House: 1993-Present
Edward R. Royce,CA,39.0,R,House: 1993-2019
Raul Ruiz,CA,36.0,D,House: 2013-Present
C. A. Dutch Ruppersberger,MD,2.0,D,House: 2003-Present
Bobby L. Rush,IL,1.0,D,House: 1993-Present
Steve Russell,OK,5.0,R,House: 2015-2019
John H. Rutherford,FL,4.0,R,House: 2017-Present
Paul D. Ryan,WI,1.0,R,House: 1999-2019
Tim Ryan,OH,13.0,D,House: 2003-Present
Gregorio Kilili Camacho Sablan,,At Large,D,House: 2009-Present
Linda T. Sanchez,CA,38.0,D,House: 2003-Present
Mark Sanford,SC,1.0,R,"House: 1995-2001, 2013-2019"
John P. Sarbanes,MD,3.0,D,House: 2007-Present
Steve Scalise,LA,1.0,R,House: 2008-Present
Mary Gay Scanlon,PA,5.0,D,House: 2018-Present
Janice D. Schakowsky,IL,9.0,D,House: 1999-Present
Adam B. Schiff,CA,28.0,D,House: 2001-Present
Bradley Scott Schneider,IL,10.0,D,"House: 2013-2015, 2017-Present"
Kurt Schrader,OR,5.0,D,House: 2009-Present
David Schweikert,AZ,6.0,R,House: 2011-Present
Austin Scott,GA,8.0,R,House: 2011-Present
David Scott,GA,13.0,D,House: 2003-Present
"Robert C. ""Bobby"" Scott",VA,3.0,D,House: 1993-Present
F. James Sensenbrenner Jr.,WI,5.0,R,House: 1979-Present
Jose E. Serrano,NY,15.0,D,House: 1989-Present
Pete Sessions,TX,32.0,R,House: 1997-2019
Terri A. Sewell,AL,7.0,D,House: 2011-Present
Carol Shea-Porter,NH,1.0,D,"House: 2007-2011, 2013-2015, 2017-2019"
Brad Sherman,CA,30.0,D,House: 1997-Present
John Shimkus,IL,15.0,R,House: 1997-Present
Bill Shuster,PA,9.0,R,House: 2001-2019
Michael K. Simpson,ID,2.0,R,House: 1999-Present
Kyrsten Sinema,AZ,At Large,D,Senate: 2019-Present | House: 2013-2019
Albio Sires,NJ,8.0,D,House: 2005-Present
Louise McIntosh Slaughter,NY,25.0,D,House: 1987-2018
Adam Smith,WA,9.0,D,House: 1997-Present
Adrian Smith,NE,3.0,R,House: 2007-Present
Christopher H. Smith,NJ,4.0,R,House: 1981-Present
Jason Smith,MO,8.0,R,House: 2013-Present
Lamar Smith,TX,21.0,R,House: 1987-2019
Lloyd Smucker,PA,11.0,R,House: 2017-Present
Darren Soto,FL,9.0,D,House: 2017-Present
Jackie Speier,CA,14.0,D,House: 2008-Present
Elise M. Stefanik,NY,21.0,R,House: 2015-Present
Chris Stewart,UT,2.0,R,House: 2013-Present
Steve Stivers,OH,15.0,R,House: 2011-Present
Thomas R. Suozzi,NY,3.0,D,House: 2017-Present
Eric Swalwell,CA,15.0,D,House: 2013-Present
Mark Takano,CA,41.0,D,House: 2013-Present
Scott Taylor,VA,2.0,R,House: 2017-2019
Claudia Tenney,NY,22.0,R,House: 2017-2019
Bennie G. Thompson,MS,2.0,D,House: 1993-Present
Glenn Thompson,PA,15.0,R,House: 2009-Present
Mike Thompson,CA,5.0,D,House: 1999-Present
Mac Thornberry,TX,13.0,R,House: 1995-Present
Patrick J. Tiberi,OH,12.0,R,House: 2001-2018
Scott R. Tipton,CO,3.0,R,House: 2011-Present
Dina Titus,NV,1.0,D,"House: 2009-2011, 2013-Present"
Paul Tonko,NY,20.0,D,House: 2009-Present
Norma J. Torres,CA,35.0,D,House: 2015-Present
David A. Trott,MI,11.0,R,House: 2015-2019
Niki Tsongas,MA,3.0,D,House: 2007-2019
Michael R. Turner,OH,10.0,R,House: 2003-Present
Fred Upton,MI,6.0,R,House: 1987-Present
David G. Valadao,CA,21.0,R,House: 2013-2019
Juan Vargas,CA,51.0,D,House: 2013-Present
Marc A. Veasey,TX,33.0,D,House: 2013-Present
Filemon Vela,TX,34.0,D,House: 2013-Present
Nydia M. Velazquez,NY,7.0,D,House: 1993-Present
Peter J. Visclosky,IN,1.0,D,House: 1985-Present
Ann Wagner,MO,2.0,R,House: 2013-Present
Tim Walberg,MI,7.0,R,"House: 2007-2009, 2011-Present"
Greg Walden,OR,2.0,R,House: 1999-Present
Mark Walker,NC,6.0,R,House: 2015-Present
Jackie Walorski,IN,2.0,R,House: 2013-Present
Mimi Walters,CA,45.0,R,House: 2015-2019
Timothy J. Walz,MN,1.0,D,House: 2007-2019
Debbie Wasserman Schultz,FL,23.0,D,House: 2005-Present
Maxine Waters,CA,43.0,D,House: 1991-Present
Bonnie Watson Coleman,NJ,12.0,D,House: 2015-Present
Randy K. Weber Sr.,TX,14.0,R,House: 2013-Present
Daniel Webster,FL,11.0,R,House: 2011-Present
Peter Welch,VT,At Large,D,House: 2007-Present
Brad R. Wenstrup,OH,2.0,R,House: 2013-Present
Bruce Westerman,AR,4.0,R,House: 2015-Present
Susan Wild,PA,7.0,D,House: 2018-Present
Roger Williams,TX,25.0,R,House: 2013-Present
Frederica S. Wilson,FL,24.0,D,House: 2011-Present
Joe Wilson,SC,2.0,R,House: 2001-Present
Robert J. Wittman,VA,1.0,R,House: 2007-Present
Steve Womack,AR,3.0,R,House: 2011-Present
Rob Woodall,GA,7.0,R,House: 2011-Present
John A. Yarmuth,KY,3.0,D,House: 2007-Present
Kevin Yoder,KS,3.0,R,House: 2011-2019
Ted S. Yoho,FL,3.0,R,House: 2013-Present
David Young,IA,3.0,R,House: 2015-2019
Don Young,AK,At Large,R,House: 1973-Present
Lee M. Zeldin,NY,1.0,R,House: 2015-Present
Ryan K. Zinke,MT,At Large,R,House: 2015-2017
